VBELN,POSNR,MATNR,UEPOS,LFIMG,UECHA,KDMAT
0064357142,10,000000000080741342,,200,,80741342
0064357142,20,000000000080741475,,6,,80741475
0064357142,30,000000000080765617,,100,,80765617
0064357146,1440,000000000080740037,,1,,80740037
0064357146,1400,000000000082311619,,2,,82311619
0064357146,1410,000000000080704504,,3,,80704504
0064357146,1420,000000000080701637,,8,,80701637
0064357146,1430,000000000080751054,,2,,80751054
0064357146,1340,000000000080739203,,2,,80739203
0064357146,1350,000000000080702094,,3,,80702094
0064357146,1360,000000000080689521,,,,80689521
0064357146,1370,000000000080689521,1360,,,80689521
0064357146,1380,000000000080751052,1360,2,,80689521
0064357146,1390,000000000080748333,,1,,80748333
0064357146,1300,000000000082308376,1290,1,,82308376
0064357146,1310,000000000082322189,,1,,82322189
0064357146,1320,000000000080702267,,2,,80702267
0064357146,1330,000000000080701635,,3,,80701635
0064357146,10,000000000080696695,,2,,80696695
0064357146,120,000000000080710405,,,,80710405
0064357146,130,000000000080710405,120,,,80710405
0064357146,140,000000000080745228,120,2,,80710405
0064357146,150,000000000082279474,,3,,82279474
0064357146,160,000000000082182396,,2,,82182396
0064357146,20,000000000080696694,,3,,80696694
0064357146,30,000000000080716515,,,,80716515
0064357146,40,000000000080716515,30,2,,80716515
0064357146,50,000000000080754561,30,,,80716515
0064357146,60,000000000080692374,,,,80692374
0064357146,280,000000000080720484,,3,,80720484
0064357146,290,000000000080713448,,,,80713448
0064357146,300,000000000080713448,290,,,80713448
0064357146,310,000000000080760257,290,3,,80713448
0064357146,1000,000000000080686694,990,,,80686694
0064357146,1010,000000000080730533,990,2,,80686694
0064357146,1020,000000000080745251,,2,,80745251
0064357146,1030,000000000080686749,,,,80686749
0064357146,1040,000000000080686749,1030,,,80686749
0064357146,1100,000000000080741819,,2,,80741819
0064357146,1110,000000000080741342,,,,80741342
0064357146,1120,000000000080730505,,,,80730505
0064357146,1130,000000000080730505,1120,,,80730505
0064357146,70,000000000080692374,60,,,80692374
0064357146,80,000000000080716512,60,,,80692374
0064357146,90,000000000080693850,,,,80693850
0064357146,100,000000000080693850,90,,,80693850
0064357146,110,000000000080721998,90,10,,80693850
0064357146,1200,000000000080733174,,20,,80733174
0064357146,1210,000000000080738853,,2,,80738853
0064357146,1220,000000000080716696,,1,,80716696
0064357146,1230,000000000080747111,,20,,80747111
0064357146,1240,000000000080763614,,10,,80763614
0064357146,370,000000000080685835,,,,80685835
0064357146,380,000000000080713449,,,,80713449
0064357146,620,000000000080754090,600,3,,80736987
0064357146,630,000000000080741454,,20,,80741454
0064357146,640,000000000080741848,,10,,80741848
0064357146,650,000000000080741473,,10,,80741473
0064357146,660,000000000080741476,,3,,80741476
0064357146,670,000000000082326938,,,,82326938
0064357146,720,000000000082326901,,,,82326901
0064357146,730,000000000082326901,720,,,82326901
0064357146,740,000000000080754094,720,3,,82326901
0064357146,750,000000000080747822,,,,80747822
0064357146,760,000000000082326900,,,,82326900
0064357146,770,000000000082326900,760,,,82326900
0064357146,780,000000000080754081,760,2,,82326900
0064357146,790,000000000080741472,,3,,80741472
0064357146,800,000000000080708721,,2,,80708721
0064357146,810,000000000080738395,,2,,80738395
0064357146,820,000000000080739137,,,,80739137
0064357146,830,000000000080739137,820,,,80739137
0064357146,840,000000000080768733,820,2,,80739137
0064357146,850,000000000080735432,,20,,80735432
0064357146,860,000000000080741820,,,,80741820
0064357146,910,000000000080730534,890,10,,80686700
0064357146,920,000000000080731885,,,,80731885
0064357146,930,000000000080730540,,,,80730540
0064357146,940,000000000080730540,930,,,80730540
0064357146,950,000000000080747555,930,50,,80730540
0064357146,960,000000000080686746,,,,80686746
0064357146,970,000000000080686746,960,,,80686746
0064357146,980,000000000080730493,960,2,,80686746
0064357146,990,000000000080686694,,,,80686694
0064357146,1050,000000000080730497,1030,2,,80686749
0064357146,1060,000000000080686741,,,,80686741
0064357146,1070,000000000080686741,1060,,,80686741
0064357146,1080,000000000080730499,1060,2,,80686741
0064357146,1090,000000000080714020,,5,,80714020
0064357146,1250,000000000082176009,,,,82176009
0064357146,1260,000000000082176009,1250,5,,82176009
0064357146,1270,000000000080747107,1250,,,82176009
0064357146,1280,000000000080708941,,1,,80708941
0064357146,1290,000000000082308376,,,,82308376
0064357146,1140,000000000080747553,1120,25,,80730505
0064357146,1150,000000000080701666,,,,80701666
0064357146,1160,000000000080721515,,,,80721515
0064357146,1170,000000000080721515,1160,,,80721515
0064357146,1180,000000000080752084,1160,5,,80721515
0064357146,320,000000000080695894,,15,,80695894
0064357146,330,000000000080701609,,,,80701609
0064357146,340,000000000080701609,330,,,80701609
0064357146,350,000000000080760280,330,3,,80701609
0064357146,360,000000000080716675,,4,,80716675
0064357146,390,000000000080713449,380,,,80713449
0064357146,400,000000000080760258,380,3,,80713449
0064357146,410,000000000080741549,,,,80741549
0064357146,420,000000000080721763,,2,,80721763
0064357146,430,000000000082325536,,,,82325536
0064357146,480,000000000080747821,,2,,80747821
0064357146,490,000000000080736983,,,,80736983
0064357146,500,000000000080736983,490,5,,80736983
0064357146,510,000000000080754098,490,,,80736983
0064357146,520,000000000082326918,,,,82326918
0064357146,530,000000000082326918,520,2,,82326918
0064357146,540,000000000080754086,520,,,82326918
0064357146,550,000000000080707759,,,,80707759
0064357146,560,000000000080707759,550,,,80707759
0064357146,570,000000000080741480,550,20,,80707759
0064357146,580,000000000080741457,,6,,80741457
0064357146,590,000000000080741475,,,,80741475
0064357146,600,000000000080736987,,,,80736987
0064357146,610,000000000080736987,600,,,80736987
0064357146,680,000000000082326938,670,2,,82326938
0064357146,690,000000000080754073,670,,,82326938
0064357146,700,000000000080741455,,20,,80741455
0064357146,710,000000000080738840,,2,,80738840
0064357146,170,000000000080745227,,3,,80745227
0064357146,180,000000000080707898,,15,,80707898
0064357146,190,000000000080707793,,,,80707793
0064357146,200,000000000080707793,190,110,,80707793
0064357146,210,000000000080740792,190,,,80707793
0064357146,220,000000000080710409,,3,,80710409
0064357146,230,000000000082279482,,2,,82279482
0064357146,240,000000000080768049,,,,80768049
0064357146,250,000000000080685188,,,,80685188
0064357146,260,000000000080695891,,,,80695891
0064357146,270,000000000082286878,,3,,82286878
0064357146,870,000000000080730514,,2,,80730514
0064357146,880,000000000080686750,,3,,80686750
0064357146,890,000000000080686700,,,,80686700
0064357146,900,000000000080686700,890,,,80686700
0064357146,1190,000000000080742701,,5,,80742701
0064357146,440,000000000082325536,430,,,82325536
0064357146,450,000000000080751769,430,10,,82325536
0064357146,460,000000000080728726,,2,,80728726
0064357146,470,000000000080721757,,2,,80721757
0064357146,900004,000000000080695891,,5,260,80695891
0064357146,900005,000000000080685835,,3,370,80685835
0064357146,900006,000000000080685835,,1,370,80685835
0064357146,900007,000000000080741475,,2,590,80741475
0064357146,900008,000000000080741475,,33,590,80741475
0064357146,900009,000000000080741342,,46,1110,80741342
0064357146,900010,000000000080741342,,2,1110,80741342
0064357146,900011,000000000080741342,,52,1110,80741342
0064357146,900001,000000000080768049,,20,240,80768049
0064357146,900002,000000000080768049,,73,240,80768049
0064357146,900003,000000000080695891,,3,260,80695891
0064357147,10,000000000080737823,,,,80737823
0064357147,20,000000000080695751,,,,80695751
0064357147,900001,000000000080737823,,32,10,80737823
0064357147,900002,000000000080695751,,1,20,80695751
0064357148,10,000000000080764740,,12,,80764740
0064357148,20,000000000080742102,,,,80742102
