"Channel","Division","Market","Banner/RD Name","ERDAT","Order Date","Delivery Date (From)","Sold To Name -   EN","SoldToCustomer","ShipToCustomer","Customer PO No","OrderNo","Plant","产品条行码","KDMAT","Material","Material Description","品类","包装/箱","UOM","Order Quantity","Confirmed Order Quantity","Delivery Quantity","NewMaterial","NewLFIMG","DeliveryNo","Description","不含税价格","Order Value","订单类型","Ord Reason","ZCCRValue","CutReasonCode","砍单原因","未满足单品补货指引","MSU/箱","下单数量MSU","有效下单数量 MSU","分货数量 MSU","未满足数量MSU","促销装配额开放日缺货Y/N","Free Goods","ZEER Index"
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,09/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2003241433","1355619481","0115330034","D902","6903148078914","276062","000000000080736558","汰渍净白去渍升级洗衣粉2.55千克","F&HC","4","CS",11,11,11,"","","0064173882","S05--200CS","80","968.66","","","","","","","0.000816","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,09/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2003241433","1355619482","0115330046","D902","6903148078891","851750","000000000080736560","汰渍净白去渍升级洗衣粉508克","F&HC","12","CS",10,10,10,"","","0064173886","S05--200CS","49.09","540.4","","","","","","","0.000487","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355535545","0115328041","D901","6903148094389","246527","000000000080695901","佳洁士3D炫白冰极薄荷牙膏180克","Oral Care","24","CS",1,1,1,"","","0064174000","S08--3500CS","269.38","296.51","","","","","","","0.00139","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355765968","0115329404","D901","6903148170458","695467","000000000082297613","帮宝适超薄干爽系列超值彩箱装大号164片","Baby Care","1","CS",2,2,2,"","","0064174004","S08--3500CS","232.25","511.3","","","","","","","0.000911","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355765971","0115329484","D901","6903148170465","695466","000000000082297616","帮宝适超薄干爽系列超值彩箱装中号192片","Baby Care","1","CS",10,10,10,"","","0064174005","S08--3500CS","231.14","2544.2","","","","","","","0.001066","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355765962","0115329498","D901","6903148283660","100003980995","000000000080682870","帮宝适清新帮纸尿裤大包装小码64片","Baby Care","4","CS",46,46,46,"","","0064174007","S08--3500CS","309.35","15663.46","","","","","","","0.001422","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355765953","0115329522","D901","6903148248027","3334286","000000000082311865","帮宝适超薄干爽拉拉裤超大彩箱加大号108片","Baby Care","1","CS",29,29,29,"","","0064174008","S08--3500CS","167.63","5351.08","","","","","","","0.0006","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355817659","0115329790","D901","6903148047798","206888","000000000080686713","舒肤佳健康清爽沐浴露金银花菊花香型1千克","PCC","6","CS",20,20,20,"000000000080730527","20","0064174011","S08--3500CS","211.38","4653.4","","","","","","","0.001098","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355817659","0115329790","D901","6903148099520","206895","000000000080730501","舒肤佳健康清爽沐浴露柠檬清香720克","PCC","12","CS",1,1,1,"000000000080760839","","0064174011","S08--3500CS","355.54","391.35","","","","","","","0.001582","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355732723","0115329988","D901","6903148049112","411086","000000000082326902","飘柔多效滋养修护润发乳400gX6","Hair Care","6","CS",3,3,3,"000000000080754066","","0064174013","S08--3500CS","135.05","445.98","","","","","","","0.000933","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355732723","0115329988","D901","6903148049105","845163","000000000082326904","飘柔多效滋养修护润发乳200gX12","Hair Care","12","CS",3,3,3,"000000000080754067","","0064174013","S08--3500CS","141.45","467.1","","","","","","","0.000933","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355732737","0115330005","D901","6903148080016","206783","000000000080691388","沙宣修护水养洗发水400GX12","Hair Care","12","CS",39,39,39,"","","0064174015","S08--3500CS","509.39","21867.69","","","","","","","0.001812","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355732737","0115330005","D901","6903148080085","206805","000000000080708708","沙宣水润去屑型洗发水750G","Hair Care","12","CS",10,10,10,"","","0064174015","S08--3500CS","854.73","9408.4","","","","","","","0.003398","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355806103","0115330010","D901","6903148094389","246527","000000000080695901","佳洁士3D炫白冰极薄荷牙膏180克","Oral Care","24","CS",5,5,5,"","","0064174017","S08--3500CS","269.38","1482.6","","","","","","","0.00139","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355817656","0115330029","D901","6903148207123","1066908","000000000080686711","舒肤佳健康柔肤沐浴露薰衣草香型720克","PCC","12","CS",6,6,6,"000000000080730520","6","0064174018","S08--3500CS","355.54","2348.16","","","","","","","0.001582","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355817656","0115330029","D901","6903148207024","1071858","000000000080686740","舒肤佳健康清爽沐浴露薄荷香冰怡舒爽720克","PCC","12","CS",5,5,5,"000000000080730498","5","0064174018","S08--3500CS","355.54","1956.8","","","","","","","0.001582","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355732725","0115330049","D901","6903148091531","206699","000000000080725122","潘婷PRO-V丝质顺滑润发精华素400G","Hair Care","8","CS",3,3,3,"","","0064174019","S08--3500CS","216.88","716.19","","","","","","","0.001244","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,08/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921577","2002942308","1355732725","0115330049","D901","6903148264010","100012011978","000000000080751780","潘婷PRO-V乳液修护洗发露500G","Hair Care","12","CS",1,1,1,"","","0064174019","S08--3500CS","423.76","466.44","","","","","","","0.002398","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,09/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921582","2003237263","1355765819","0115329336","D767","6903148283769","100026779926","000000000080683083","帮宝适清新帮拉拉裤大包装加大码34片","Baby Care","4","CS",5,5,5,"","","0064173597","S06--800CS for normal/400CS for water tap","278.63","1533.5","","","","","","","0.000755","","","","","","",""
"iOMNI eCom","JD Group","JINGDONG","JD Self","06/07/2023 00:00:00",06/07/2023 00:00:00,09/07/2023 00:00:00,"北京京东世纪贸易有限公司","2002921582","2003237263","1355765815","0115329503","D767","6903148259191","4562357","000000000082297610","帮宝适超薄干爽系列彩箱装初生码140片","Baby Care","1","CS",37,37,37,"","","0064173601","S06--800CS for normal/400CS for water tap","119.26","4856.99","","","","","","","0.000777","","","","","","",""
