VBELN,POSNR,MATNR,KDMAT
0115331603,10,000000000082300022,82300022
0115331605,10,000000000082300022,82300022
0115331608,10,000000000082300022,82300022
0115335710,10,000000000080718535,80718535
0115344436,10,000000000080768858,
0115344437,10,000000000080768858,
0115344551,10,000000000080738849,80738849
0115344552,10,000000000080742441,80742441
0115344552,20,000000000080742448,80742448
0115344552,30,000000000080742447,80742447
0115344552,40,000000000080742440,80742440
0115344552,50,000000000080742449,80742449
0115344552,60,000000000080742437,80742437
0115344552,70,000000000080742444,80742444
0115344552,80,000000000080742443,80742443
0115344552,90,000000000080742445,80742445
0115344552,100,000000000080742436,80742436
0115344552,110,000000000080742446,80742446
0115344552,120,000000000080742438,80742438
0115344553,10,000000000080715574,80715574
0115344553,20,000000000080719910,80719910
0115344570,10,000000000080690140,80690140
0115344571,10,000000000080690140,80690140
0115344571,20,000000000081697102,81697102
0115344572,10,000000000080690140,80690140
0115344596,10,000000000080690140,80690140
0115344596,20,000000000080695042,80695042
0115344596,30,000000000080716766,80716766
0115344596,40,000000000080717350,80717350
0115344596,50,000000000080719153,80719153
0115344596,60,000000000080751923,80751923
0115344596,70,000000000080751924,80751924
0115344596,80,000000000081570003,81570003
0115344596,90,000000000081607184,81607184
0115344596,100,000000000081666108,81666108
0115344596,110,000000000081731719,81731719
0115344596,120,000000000081731819,81731819
0115344596,130,000000000081747507,81747507
0115344596,140,000000000081747622,81747622
0115344596,150,000000000081758762,81758762
0115344596,160,000000000081758763,81758763
0115344596,170,000000000081758767,81758767
0115344596,180,000000000081764852,81764852
0115344596,190,000000000081764853,81764853
0115344596,200,000000000081776798,81776798
0115344596,210,000000000081686066,81686066
0115344596,220,000000000081697102,81697102
0115344596,230,000000000081726690,81726690
0115344597,10,000000000080690140,80690140
0115344597,20,000000000080695042,80695042
0115344597,30,000000000080716766,80716766
0115344597,40,000000000080717350,80717350
0115344597,50,000000000080751923,80751923
0115344597,60,000000000080751924,80751924
0115344597,70,000000000081570003,81570003
0115344597,80,000000000081607184,81607184
0115344597,90,000000000081731719,81731719
0115344597,100,000000000081731819,81731819
0115344597,110,000000000081747507,81747507
0115344597,120,000000000081747622,81747622
0115344597,130,000000000081758763,81758763
0115344597,140,000000000081758767,81758767
0115344597,150,000000000081764852,81764852
0115344597,160,000000000081686066,81686066
0115344597,170,000000000081697102,81697102
0115344606,10,000000000082276368,82276368
0115344606,20,000000000080691634,80691634
0115344606,30,000000000080691642,80691642
0115344673,10,000000000080683834,80683834
