"Order date","Sold-to Party","Ship-to Party","Customer PO No","Sales Order No","Item","Material No","Material Description","Sales UoM","Order Quantity","Delivery Creation Qty","Order Value","Plant","Item Barcode","Order status"
"20230706","2002921600","2002941152","1355819240","115329926","150","80680394","OLAY#########200g","CS","4","0","0","A680","6.90315E+12","99"
"20230706","2002921603","2002921604","1355819803","115330063","130","80680394","OLAY#########200g","CS","2","0","0","A668","6.90315E+12","99"
"20230706","2002921607","2002921609","1355818597","115330072","150","80680394","OLAY#########200g","CS","1","0","0","A715","6.90315E+12","99"
"20230706","2002921611","2002921612","1355820023","115330001","110","80680394","OLAY#########200g","CS","2","0","0","A716","6.90315E+12","99"
"20230706","2002920557","2002921387","1355818720","115329883","150","80680394","OLAY#########200g","CS","2","0","0","A672","6.90315E+12","99"
"20230706","2002921582","2002921583","1355818284","115329892","100","80680394","OLAY#########200g","CS","8","0","0","C816","6.90315E+12","99"
"20230706","2002921577","2002942308","1355817659","115329790","130","80680394","OLAY#########200g","CS","3","0","0","A673","6.90315E+12","99"
"20230706","2002921600","2002921677","1355852482","115330184","40","80680755","##########1##4##1##","CS","4","3","2,465.58","A680","6.90007E+12","50"
"20230706","2002921582","2002921583","1355852435","115330201","50","80680755","##########1##4##1##","CS","3","3","2,465.58","C816","6.90007E+12","50"
"20230706","2002921577","2002942308","1355852375","115330180","50","80680755","##########1##4##1##","CS","1","1","821.85","A673","6.90007E+12","50"
"20230706","2002921603","2002921604","1355852313","115330198","110","80680758","##########1##5##1##","CS","1","1","1,253.98","A668","6.90007E+12","50"
"20230706","2002921577","2002921598","1355852344","115330199","30","80680758","##########1##5##1##","CS","2","2","2,507.96","A673","6.90007E+12","30"
"20230706","2002921577","2002921673","1355852554","115330186","60","80680758","##########1##5##1##","CS","2","2","2,507.96","A673","6.90007E+12","30"
"20230706","2002921607","2002921675","1355763792","115329407","20","80680759","###############22#","CS","10","10","5,114.50","A715","6.90315E+12","30"
"20230706","2002921607","2002930241","1355764151","115329456","20","80680759","###############22#","CS","26","26","13,297.70","A715","6.90315E+12","50"
"20230706","2002920557","2003222613","1355765572","115329249","10","80680759","###############22#","CS","24","24","12,274.80","A672","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764366","115329661","10","80680759","###############22#","CS","75","75","38,358.75","C816","6.90315E+12","50"
"20230706","2002921582","2002921587","1355779993","115329681","20","80680759","###############22#","CS","50","50","25,572.50","C816","6.90315E+12","50"
"20230706","2002921577","2002942308","1355778950","115329395","10","80680759","###############22#","CS","1","1","511.45","A673","6.90315E+12","50"
"20230706","2002921577","2002942308","1355765963","115329491","20","80680759","###############22#","CS","109","109","55,748.05","A673","6.90315E+12","50"
"20230706","2002921600","2002921601","135491367807cut","115326788","10","80681562","#########80##","CS","5","0","0","A680","6.90315E+12","99"
"20230706","2002921600","2003190193","135539291107cut","115328038","10","80681562","#########80##","CS","2","0","0","A680","6.90315E+12","99"
"20230706","2002920557","2002921482","1354916311","115326789","10","80681562","#########80##","CS","1","1","224.15","A672","6.90315E+12","30"
"20230706","2002920557","2003213268","1354919719","115326790","10","80681562","#########80##","CS","1","1","224.15","A672","6.90315E+12","30"
"20230706","2002920557","2003213268","1355392967","115327655","10","80681562","#########80##","CS","1","1","224.15","A672","6.90315E+12","30"
"20230706","2002921582","2002921590","1354925078","115326791","10","80681562","#########80##","CS","1","1","224.15","C816","6.90315E+12","30"
"20230706","2002921577","2002942308","1354932302","115326793","10","80681562","#########80##","CS","2","2","448.3","A673","6.90315E+12","50"
